Transaction_ID,Ref_ID,Service_Type,Channel,Service_Name,Service_Detail,Amount,CCY,Fee_Amount,Description,Booking_Date,Status,From_Account,To_Account
FT1000000000000,AP5748802655322122,OTHER,OTHER,SER_CHG,Thu phi dich vu,139302,USD,16889,Phi dich vu thang nay,2024-01-13 08:32:07,Failed,AP8415608501809,EXT3917697224121
FT1000000000001,AP438178,PMT,ATM,INTERNET,Hoa don mang,5042347,VND,24800,Thanh toan Internet,2024-10-10 13:24:31,Completed,DEP756048604,AP2703182020764
FT1000000000002,SEC76341145,CKNB,MB,OUTER_IDV,CKNB toi KH ca nhan,12180406,USD,6188,Thanh toan ve may bay,2024-02-12 16:36:11,Completed,DEP513375758,DEP811633840638956
FT1000000000003,AP134630,CKNB,TL,OUTER_IDV,CKNB toi KH ca nhan,17281257,EUR,3253,Chuyen khoan,2024-02-26 14:50:28,Pending,AP58716373258377,DEP99576796
FT1000000000004,SEC93798891952,PMT,TL,ELECTRICITY,Hoa don dien,6760893,VND,35534,Thanh toan ve may bay,2024-04-23 13:34:26,Failed,DEP82516039223509,AP828337168119
FT1000000000005,LOAN5664438,CASH,ATM,ATM,Nop tien vao TK,43811089,EUR,5638,Phi dich vu thang nay,2024-07-01 21:38:32,Failed,AP132419810,EXT78450709
FT1000000000006,SEC1165223529,OTHER,MB,STOCK,CK sang CTCK,17382442,EUR,2871,Thanh toan hoa don,2025-06-17 01:35:46,Pending,AP663128728,DEP87918397
FT1000000000007,SEC54841372938,VTK,MB,LN_PAY,Thanh toan khoan vay,28418637,EUR,11275,Chuyen khoan,2025-08-01 20:09:47,Failed,EXT67121913,AP850109993866
FT1000000000008,AP257392102039,OTHER,IB,EBANKPAY,Thanh toan doi tac EBank,2115995,EUR,15461,Thanh toan Internet,2024-11-07 05:12:03,Pending,EXT516682791451584,EXT813462837492
FT1000000000009,AP23157070,VTK,TL,LN_PAY,Thanh toan khoan vay,169605735,USD,7785,Thanh toan hoa don,2024-03-05 19:12:06,Failed,DEP27098922898271,DEP102116625997021
FT1000000000010,DEP588122668,PMT,TL,TOPUP,Nap tien di dong,1633674,EUR,10328,Thanh toan Internet,2025-07-24 10:32:11,Completed,EXT73440152,EXT2662669601
FT1000000000011,SEC29030887573,VTK,TL,LN_PAY,Giai ngan khoan vay,188063733,EUR,13683,Nap tien dien thoai,2025-05-18 17:46:44,Completed,EXT20651312554818,AP33541940201
FT1000000000012,SEC475514979378406,OTHER,TL,TRACER,Nhan tien tra soat,11644530,EUR,23714,Chuyen khoan,2024-02-21 00:42:03,Completed,AP276953549313,DEP7949819934893294
FT1000000000013,AP4781066422238,PMT,ATM,TOPUP,Nap tien di dong,1068978,VND,25099,Phi dich vu thang nay,2024-04-12 19:20:41,Failed,DEP3796336,AP1928992050726447
FT1000000000014,SEC9990620032527628,CASH,TL,ATM,Rut tien tu TK,42440519,USD,39816,Thanh toan hoa don,2025-06-03 06:47:13,Failed,AP921152163339,AP3200142
FT1000000000015,DEP3984615335319,CKNB,TL,OUTER_IDV,CKNB toi KH ca nhan,13272052,USD,11164,Thanh toan Internet,2024-08-15 14:41:02,Pending,EXT305025099429,AP6315412883052453
FT1000000000016,LOAN86574006791,LNH,IB,CITAD,Chuyen tien CITAD,18513130,EUR,4113,Thanh toan hoa don,2024-11-24 16:52:15,Pending,AP952194,AP89055788732730
FT1000000000017,AP349183398756105,PMT,MB,ELECTRICITY,Hoa don dien,188411,USD,12077,Dong hoc phi,2024-02-03 00:14:17,Completed,EXT6912627986,DEP75293496
FT1000000000018,AP857060,CASH,ATM,TL,Giao dich ngoai te,10116617,EUR,2504,Thanh toan ve may bay,2024-03-31 06:27:00,Pending,AP12764093,DEP618694678741908
FT1000000000019,DEP981104848,LNH,MB,CITAD,Nhan tien qua CITAD,10050700,USD,17486,Thanh toan hoa don,2024-06-19 22:34:52,Failed,EXT6519785721,AP300174
FT1000000000020,SEC562273,CKNB,MB,OUTER_COM,CKNB toi KH doanh nghiep,16339999,VND,3784,Thanh toan ve may bay,2024-06-27 13:38:08,Completed,AP64920403,DEP9168571982722490
FT1000000000021,SEC2506347704101,PMT,TL,EDUCATION,Hoc phi,9294312,USD,18140,Dong hoc phi,2024-10-02 04:37:19,Completed,EXT372849851911399,AP8036497
FT1000000000022,SEC5377701870766203,OTHER,MB,EBANKPAY,Thanh toan doi tac EBank,7268474,VND,1162,Nap tien dien thoai,2024-10-25 15:15:23,Completed,AP2553900396886335,EXT161490813
FT1000000000023,LOAN1585103593966,LNH,TL,CITAD,Chuyen tien CITAD,4043209,EUR,25296,Phi dich vu thang nay,2025-04-22 22:20:28,Failed,EXT2666639354,AP690753125
FT1000000000024,DEP9940091253624273,CKNB,TL,OUTER_IDV,CKNB toi KH ca nhan,1599764,VND,47148,Nap tien dien thoai,2024-07-24 06:59:18,Pending,DEP42192671178,AP363977951046729
FT1000000000025,LOAN2578094707832686,LNH,MB,CITAD,Nhan tien qua CITAD,17337161,EUR,7232,Dong hoc phi,2025-05-27 10:39:31,Pending,DEP5851274870942,AP8407334137707478
FT1000000000026,AP915432,OTHER,OTHER,SER_CHG,Thu phi dich vu,105969,USD,18304,Thanh toan Internet,2024-05-14 14:48:18,Pending,EXT911443590661,EXT233217619
FT1000000000027,LOAN224052699,CKNB,IB,OUTER_COM,Nhan tien tu KH doanh nghiep,4752339,USD,7579,Chuyen khoan,2024-04-13 09:26:09,Failed,EXT6365753,DEP79409060536047
FT1000000000028,AP99197455183,OTHER,MB,FUND,Chuyen sang Quy dau tu,5367988,USD,12860,Thanh toan ve may bay,2024-05-08 23:07:11,Completed,DEP34780877,AP5046344
FT1000000000029,DEP719416034,PMT,IB,ELECTRICITY,Hoa don dien,9822951,USD,1098,Thanh toan ve may bay,2025-02-19 15:37:31,Pending,DEP3792341748,EXT848272486518324
FT1000000000030,AP62464976555,PMT,IB,EDUCATION,Hoc phi,7575950,VND,4878,Thanh toan hoa don,2025-06-06 08:28:10,Pending,EXT4597855661141,EXT305216859472594
FT1000000000031,SEC1612773561,LNH,IB,CITAD,Chuyen tien CITAD,7333125,EUR,3382,Nap tien dien thoai,2025-05-16 03:30:42,Completed,EXT5787287869,DEP35014341
FT1000000000032,DEP69240714,OTHER,IB,STOCK,CK sang CTCK,5429973,USD,3132,Rut tien tai ATM,2024-08-24 20:50:50,Pending,DEP791779200,EXT7300933784157497
FT1000000000033,DEP523295465500241,CKNB,MB,OUTER_COM,Nhan tien tu KH doanh nghiep,16326290,USD,13579,Thanh toan Internet,2024-11-27 12:06:02,Failed,EXT645724,DEP7960955003
FT1000000000034,SEC66431825920384,LNH,IB,CITAD,Chuyen tien CITAD,10238117,VND,12050,Phi dich vu thang nay,2024-02-14 21:21:03,Pending,EXT59294240446,DEP3490317
FT1000000000035,SEC581286,VTK,MB,SAVING,Tat toan va tra lai,77443536,EUR,9554,Thanh toan hoa don,2024-09-13 04:50:27,Failed,EXT601338943306602,DEP18936502232
FT1000000000036,DEP15466123,CKNB,IB,OUTER_IDV,CKNB toi KH ca nhan,15748538,VND,16054,Thanh toan hoa don,2025-03-12 14:35:18,Completed,DEP6738669389,AP51734916447223
FT1000000000037,AP567691,CKNB,MB,OUTER_COM,CKNB toi KH doanh nghiep,19711977,USD,8500,Nap tien dien thoai,2024-12-15 22:03:39,Pending,DEP299257694,EXT666584857
FT1000000000038,SEC433536591041886,OTHER,OTHER,STOCK,Nhan tien tu CTCK,4353901,EUR,1580,Thanh toan hoa don,2024-05-24 07:00:15,Failed,AP69381032173,AP7222735083
FT1000000000039,LOAN131851,CASH,TL,TL,Rut tien tai quay,25607408,VND,21599,Rut tien tai ATM,2025-02-07 07:50:08,Completed,DEP228136204659750,EXT715589306272
FT1000000000040,LOAN34324237218,CASH,TL,TL,Giao dich ngoai te,43773284,VND,45339,Dong hoc phi,2025-05-30 08:38:35,Pending,DEP5846621,EXT25832118205498
FT1000000000041,AP590564195895286,OTHER,MB,TRACER,Nhan tien tra soat,5848234,EUR,8148,Thanh toan hoa don,2024-08-08 12:47:40,Pending,EXT4937349,AP41093178
FT1000000000042,AP41881240285,VTK,IB,LN_PAY,Giai ngan khoan vay,148396092,USD,18472,Thanh toan hoa don,2025-08-07 10:28:29,Completed,EXT57657393,EXT8915694
FT1000000000043,AP7381419890322,LNH,IB,CITAD,Nhan tien qua CITAD,19914242,USD,3049,Dong hoc phi,2024-11-05 08:58:04,Pending,DEP598301219729,DEP7640195
FT1000000000044,DEP706520458489960,OTHER,MB,EBANKPAY,Thanh toan doi tac EBank,15490923,VND,8006,Thanh toan ve may bay,2024-09-01 08:49:12,Failed,DEP598425799,AP52031190
FT1000000000045,DEP4957581239356900,LNH,MB,CITAD,Nhan tien qua CITAD,15551381,EUR,9188,Chuyen khoan,2024-03-30 04:18:10,Completed,EXT3123392041721916,EXT9406143151716
FT1000000000046,SEC5317160297,PMT,ATM,AIRLINE,Ve may bay,14888213,EUR,25070,Thanh toan ve may bay,2024-03-08 14:20:51,Completed,DEP66184049706137,EXT8097096
FT1000000000047,DEP1141295055,LNH,MB,CITAD,Chuyen tien CITAD,14543649,EUR,3643,Phi dich vu thang nay,2024-09-14 20:49:21,Pending,AP5362920295,AP4254926889
FT1000000000048,AP14205985,CASH,TL,ATM,Nop tien vao TK,45760106,USD,18134,Dong hoc phi,2025-07-18 14:33:34,Completed,DEP5673440723548,DEP174406461
FT1000000000049,DEP2272924205699165,OTHER,TL,FUND,Chuyen sang Quy dau tu,7201534,EUR,45266,Thanh toan hoa don,2024-10-14 22:16:37,Pending,AP1430739,DEP7837898425
FT1000000000050,LOAN991173523625600,VTK,OTHER,SAVING,Rut tiet kiem,20814759,USD,1507,Nap tien dien thoai,2025-06-11 05:09:00,Failed,EXT482380146,EXT3726319
FT1000000000051,DEP49636005,LNH,TL,CITAD,Chuyen tien CITAD,7040604,EUR,8824,Thanh toan Internet,2024-11-05 16:50:28,Pending,EXT422884,AP72744695151
FT1000000000052,SEC785935753395493,CASH,ATM,ATM,Nop tien vao TK,33828664,USD,20079,Chuyen khoan,2024-06-28 04:08:04,Failed,DEP3683710489956659,EXT804653
FT1000000000053,AP523224448,OTHER,IB,FUND,Rut Quy dau tu,10476560,VND,1096,Nap tien dien thoai,2024-01-16 13:04:15,Completed,DEP81962780851,EXT9262773906429485
FT1000000000054,LOAN161159,CKNB,IB,OUTER_COM,Nhan tien tu KH doanh nghiep,6459203,VND,6810,Phi dich vu thang nay,2024-05-04 13:01:01,Completed,EXT9195082102,AP727727
FT1000000000055,DEP517220,OTHER,OTHER,SER_CHG,Thu phi dich vu,172793,VND,17467,Nap tien dien thoai,2025-03-15 15:03:59,Completed,DEP5574970692288721,AP6701291517
FT1000000000056,DEP4733896098,VTK,MB,LN_PAY,Thanh toan khoan vay,112312234,VND,19935,Rut tien tai ATM,2025-01-31 17:50:14,Pending,AP960278377,EXT830729237
FT1000000000057,SEC89048099790967,PMT,ATM,WATER,Hoa don nuoc,8509901,USD,10702,Phi dich vu thang nay,2025-04-16 19:02:09,Failed,DEP911855179404869,AP17654626
FT1000000000058,DEP602653726174,PMT,ATM,EDUCATION,Hoc phi,5426793,VND,21214,Rut tien tai ATM,2025-01-22 09:13:40,Completed,EXT8726849879,AP9414785
FT1000000000059,AP805985,VTK,TL,SAVING,Rut tiet kiem,131142299,EUR,29438,Rut tien tai ATM,2024-08-27 17:51:45,Completed,EXT6381435,EXT27851357119259
FT1000000000060,LOAN673417601697,PMT,IB,INTERNET,Hoa don mang,7179727,EUR,1012,Chuyen khoan,2024-08-10 23:15:27,Failed,EXT214438670608421,EXT6277442270
FT1000000000061,AP748731387800,OTHER,MB,FUND,Rut Quy dau tu,6929965,VND,19463,Thanh toan hoa don,2024-11-09 04:28:54,Completed,AP430611022691807,AP8588097525
FT1000000000062,LOAN57450622347,PMT,IB,TOPUP,Nap tien di dong,1751470,USD,16778,Phi dich vu thang nay,2024-08-09 13:45:54,Failed,EXT494614,AP9945079659
FT1000000000063,AP7207701721584501,CASH,TL,ATM,Rut tien tu TK,47782720,USD,18135,Thanh toan ve may bay,2025-08-03 11:31:41,Failed,EXT846106525,EXT5572105
FT1000000000064,AP9878678638370,LNH,TL,CITAD,Chuyen tien CITAD,16039034,EUR,14485,Dong hoc phi,2025-06-30 12:45:04,Failed,AP2067178,AP82773850
FT1000000000065,SEC13159055,CKNB,MB,OUTER_IDV,Nhan tien tu KH ca nhan,18642916,VND,8691,Dong hoc phi,2024-04-11 04:45:25,Pending,DEP86099393966,EXT3389337908502
FT1000000000066,DEP645607591,CKNB,TL,OUTER_IDV,Nhan tien tu KH ca nhan,16161950,EUR,29787,Phi dich vu thang nay,2024-05-13 01:45:49,Failed,AP6034774966563613,EXT40212622
FT1000000000067,DEP5524133522861,OTHER,TL,EBANKPAY,Thanh toan doi tac EBank,3020726,VND,15066,Phi dich vu thang nay,2024-03-05 17:37:48,Failed,EXT89160384348,DEP30732117404
FT1000000000068,DEP22086507903,LNH,IB,CITAD,Chuyen tien CITAD,13826926,USD,15297,Phi dich vu thang nay,2024-03-21 04:40:25,Failed,AP2393819,AP23085482
