Card_ID,Account_Payment_ID,Card_Type,Expiry_Date,CVV,Card_Status,Opening_Branch,Card_Create_At
4122181459851741,57096524763531906764,Napas Credit Card,2026-01-07,458,Closed,BR009,2020-01-09
4726451716060116,13947229731132321012,Napas Debit Card,2025-11-18,912,Active,BR008,2019-11-20
4065265148837243,46030573103116653926,Napas Credit Card,2030-06-26,272,Inactive,BR006,2024-06-27
4540678081621157,36875234193378231790,Napas Debit Card,2026-02-23,558,Closed,BR007,2020-02-25
4301162212036595,95048673067573675521,Napas Credit Card,2025-09-27,928,Inactive,BR005,2019-09-29
4989070778036611,71116240064196823235,Visa Credit Card,2031-03-30,286,Active,BR007,2025-03-31
4624229561970417,13204760370057815869,Napas Credit Card,2027-03-20,938,Inactive,BR008,2021-03-21
4314811408191799,50953931318456668842,Napas Debit Card,2031-05-18,327,Inactive,BR003,2025-05-19
4725590668991219,43206884507809357729,Napas Debit Card,2030-07-27,704,Active,BR004,2024-07-28
4063867717586612,58850371613042144617,Visa Credit Card,2028-12-08,740,Inactive,BR010,2022-12-10
4421933724883898,99929392966114433841,Napas Credit Card,2026-10-12,393,Closed,BR007,2020-10-13
4527100505449258,70479385041963328955,Visa Credit Card,2026-11-13,377,Inactive,BR002,2020-11-14
4331869891686165,61096004513391913780,Napas Debit Card,2027-05-19,454,Inactive,BR005,2021-05-20
4759624658656220,88935888239849264558,Visa Credit Card,2028-12-05,508,Closed,BR008,2022-12-07
4988740621942558,15457478968133500278,Visa Debit Card,2029-09-01,490,Inactive,BR007,2023-09-03
4301578944750314,11975182030645849772,Visa Debit Card,2031-07-13,327,Active,BR002,2025-07-14
4604595981532117,74537065091563107713,Napas Credit Card,2028-03-16,415,Active,BR005,2022-03-18
4279793829317565,75094474735438166714,Visa Debit Card,2030-07-07,594,Inactive,BR008,2024-07-08
4362104455637811,50738147246516699898,Napas Credit Card,2030-12-17,333,Active,BR009,2024-12-18
4615804070834116,56028810395704686713,Napas Debit Card,2031-03-05,113,Inactive,BR009,2025-03-06
