Card_Transaction_ID,Card_ID,Card_Service_Type,Card_Channel,Card_Service_Name,Card_Service_Detail,Amount,Description,Transaction_Date
1,4063867717586612,OTHER,OTHER,DEBIT_CASHBACK,Hoàn tiền thẻ thanh toán,11767272,Chuyen khoan luong thang,2025-05-05 21:11:00
2,7747222945810808,CKNB,MB,NAPAS_ACC,Nhận tiền về Napas từ tài khoản,18596878,Rut tien tai ATM,2025-06-08 14:42:16
3,3289422083238535,CASH,TL,ATM,Rút tiền mặt từ thẻ,6425042,Chuyen khoan luong thang,2025-01-01 01:31:47
4,1864088448826873,CASH,TL,TL,Rút tiền mặt từ thẻ,9005211,Chuyen tien cho nguoi than,2025-06-08 02:45:14
5,3541134754552992,PMT,POS,POS_PAY,Thanh toán POS của thẻ Debit,5389523,Gui tiet kiem ngan han,2025-03-16 15:36:28
6,8164594934680774,VTK,MB,SAVING,Gửi tiết kiệm bằng thẻ,13614643,Thanh toan hoa don dien,2024-04-11 15:19:44
7,2472082252688597,CASH,TL,ATM,Rút tiền mặt từ thẻ,17514530,Tra gop the tin dung,2024-05-07 12:57:59
8,9310165471608712,VTK,MB,LN_PAY,Thanh toán khoản vay qua thẻ,16512320,Chuyen khoan luong thang,2024-05-01 07:46:01
9,8985919805449482,CASH,ATM,POS_PAY,Thanh toán POS của thẻ Debit,9423188,Gui tiet kiem ngan han,2025-07-15 17:13:19
10,8183665901049487,VTK,MB,SAVING,Gửi tiết kiệm bằng thẻ,9827220,Chuyen khoan luong thang,2024-05-07 13:10:39
11,6174036361555213,CASH,ATM,TL,Rút tiền mặt từ thẻ,17469905,Nap tien dien thoai,2024-03-21 05:16:51
12,9762532395099007,VTK,TL,LN_PAY,Giải ngân khoản vay qua thẻ,16940705,Thanh toan Internet,2024-07-20 04:28:00
13,6719441464692707,LNH,IB,NAPAS_CRD,Chuyển tiền Napas (24/7) tới thẻ,12651879,Gui tiet kiem ngan han,2024-01-13 17:17:48
14,1241777596930946,LNH,IB,NAPAS_ACC,Chuyển tiền Napas (24/7) tới tài khoản,8772413,Gui tiet kiem ngan han,2025-05-06 22:20:14
15,4614677765462673,CASH,TL,ATM,Rút tiền mặt từ thẻ,7702956,Nap tien dien thoai,2025-04-09 01:30:06
16,3564174145914576,CASH,TL,ATM,Rút tiền mặt từ thẻ,7406317,Rut tien tai ATM,2025-07-06 03:41:01
17,6307850426924236,VTK,OTHER,LN_PAY,Giải ngân khoản vay qua thẻ,16108353,Chuyen tien cho nguoi than,2024-02-16 14:34:18
18,7500878697533689,VTK,IB,SAVING,Tất toán tiết kiệm và trả lãi,14006096,Thanh toan Internet,2024-08-26 21:44:55
19,7926193029624741,CASH,TL,ATM,Rút tiền mặt từ thẻ,13649216,Rut tien tai ATM,2024-09-14 08:44:58
20,3725210495293969,CASH,TL,TL,Giao dịch ngoại tệ,10074948,Chuyen khoan luong thang,2024-03-04 10:00:20
21,2840192893436223,PMT,POS,CRE_CARD,Thanh toán thẻ tín dụng,5491797,Tra gop the tin dung,2024-06-26 02:07:50
22,9307535689568765,VTK,TL,LN_PAY,Giải ngân khoản vay qua thẻ,514283,Gui tiet kiem ngan han,2024-11-06 22:57:09
23,6643034199930202,OTHER,OTHER,DEBIT_CASHBACK,Hoàn tiền thẻ thanh toán,11520706,Thanh toan Internet,2025-07-14 06:02:21
24,5848936097867384,OTHER,OTHER,DEBIT_CASHBACK,Hoàn tiền thẻ thanh toán,840279,Tra gop the tin dung,2024-11-28 11:16:38
25,5916664284042770,CKNB,IB,NAPAS_ACC,Chuyển tiền Napas (24/7) tới tài khoản,7773125,Gui tiet kiem ngan han,2024-08-28 21:32:40
26,3986536228338453,CKNB,MB,NAPAS_CRD,Nhận tiền về NAPAS từ thẻ,10073768,Thanh toan hoa don dien,2024-06-17 19:26:13
27,2404661970538600,PMT,MB,CRE_CARD,Thanh toán thẻ tín dụng,9943205,Gui tiet kiem ngan han,2024-04-11 13:57:26
28,1287015778428840,CASH,ATM,POS_PAY,Thanh toán POS của thẻ Debit,15527855,Rut tien tai ATM,2024-08-19 18:38:42
